iter	Logloss
0	0.6704218337
1	0.651565083
2	0.6338314118
3	0.6194024723
4	0.6045981496
5	0.5913532583
6	0.5791830826
7	0.5688624869
8	0.5598166511
9	0.5521016617
10	0.5441101836
11	0.5370806798
12	0.5311588666
13	0.5257279281
14	0.5208545307
15	0.5170866888
16	0.512537167
17	0.5091323221
18	0.5058786739
19	0.5028418336
20	0.4996940987
21	0.497044417
22	0.4944461939
23	0.4924854455
24	0.4903999992
25	0.4877583104
26	0.4860051419
27	0.4842837257
28	0.4824428705
29	0.481445745
30	0.4801204797
31	0.4789171535
32	0.4776061462
33	0.4764392618
34	0.4753079252
35	0.4742183027
36	0.473156812
37	0.4719933617
38	0.4709179649
39	0.4697622736
40	0.4687192865
41	0.4675116745
42	0.4665170323
43	0.465870854
44	0.4649506309
45	0.4642010103
46	0.4634431285
47	0.4628487937
48	0.462171765
49	0.4613990909
50	0.4608528905
51	0.4604851698
52	0.4596732047
53	0.4590891101
54	0.4583204585
55	0.457798672
56	0.4569991445
57	0.4564435486
58	0.4559276268
59	0.4553520464
60	0.4548622462
61	0.4545709151
62	0.4539255263
63	0.4532647068
64	0.4528430003
65	0.4521698063
66	0.4516776545
67	0.4511544116
68	0.4504180933
69	0.4500433714
70	0.44954108
71	0.4492593619
72	0.4486969498
73	0.4481658441
74	0.4478162733
75	0.4473912635
76	0.4469514062
77	0.4464407257
78	0.4461534241
79	0.4457926184
80	0.4451791545
81	0.4446837375
82	0.4443612517
83	0.4440248325
84	0.4436261363
85	0.443039415
86	0.4426276531
87	0.4421910749
88	0.4418625283
89	0.4414703906
90	0.4410612913
91	0.4407062723
92	0.4403642087
93	0.4400668629
94	0.4397842795
95	0.4394083126
96	0.4390209172
97	0.4387350094
98	0.4383162591
99	0.4381613073
100	0.4377699371
101	0.4373639129
102	0.4370814449
103	0.4366054821
104	0.4364007134
105	0.4361211317
106	0.4359062078
107	0.4355628987
108	0.4353000501
109	0.4349806841
110	0.4347164392
111	0.4344678574
112	0.4341406832
113	0.4338930364
114	0.4336373268
115	0.4333263323
116	0.4329133793
117	0.4324804084
118	0.4322728913
119	0.4319278922
120	0.431617218
121	0.4314730783
122	0.431183154
123	0.4308093062
124	0.4303860469
125	0.4300762089
126	0.4297877252
127	0.4295757335
128	0.4292266438
129	0.4289793403
130	0.4287750345
131	0.4285994823
132	0.4282134992
133	0.4278355789
134	0.4276709353
135	0.4273957351
136	0.4272132724
137	0.4269222417
138	0.4265607336
139	0.4263358922
140	0.4259861034
141	0.4257749767
142	0.4254780234
143	0.4251975021
144	0.4250133322
145	0.4245096157
146	0.4241596452
147	0.4237291005
148	0.4235019124
149	0.4232810493
150	0.4231366423
151	0.4227854706
152	0.4224787852
153	0.4223077258
154	0.42211724
155	0.4218196555
156	0.4215523744
157	0.4213407284
158	0.4212219143
159	0.4209976393
160	0.4206142096
161	0.4203704319
162	0.4201387103
163	0.4200009508
164	0.4198255256
165	0.4195876958
166	0.4194842856
167	0.4192981593
168	0.4189095456
169	0.4186929812
170	0.4184905433
171	0.4182726005
172	0.4179654382
173	0.4176638559
174	0.4172962855
175	0.4171510062
176	0.4168938346
177	0.416698724
178	0.4165806182
179	0.4162443046
180	0.4160412225
181	0.415755474
182	0.4155702553
183	0.4154360153
184	0.4150700269
185	0.4147372621
186	0.4144737807
187	0.414084435
188	0.4137318662
189	0.4134330767
190	0.4130735837
191	0.4128276615
192	0.4124498594
193	0.4121437621
194	0.4117571317
195	0.4113761083
196	0.4112383765
197	0.4110007595
198	0.4107609977
199	0.4105902648
200	0.4101139738
201	0.4098235589
202	0.4095555222
203	0.4091743916
204	0.4087703695
205	0.4084693321
206	0.4082780302
207	0.4080151749
208	0.4076476034
209	0.4074426227
210	0.4071132446
211	0.4068565974
212	0.406626934
213	0.4062647783
214	0.4059919065
215	0.4057083734
216	0.4054955931
217	0.4052289874
218	0.4049465329
219	0.404697812
220	0.4043774503
221	0.4038910936
222	0.4036423268
223	0.4033475562
224	0.4029697038
225	0.4027819554
226	0.4024978867
227	0.4022278808
228	0.4019190985
229	0.4016226015
230	0.4014120156
231	0.4008439137
232	0.4005022992
233	0.4002980198
234	0.4000293994
235	0.3997090339
236	0.3995350727
237	0.3992308484
238	0.3990462053
239	0.3987156644
240	0.3982074921
241	0.3978286262
242	0.3975078895
243	0.3972748136
244	0.3970401842
245	0.3966741064
246	0.3964024952
247	0.3961172666
248	0.3959133146
249	0.3955962125
250	0.3954307696
251	0.3951621763
252	0.3949285764
253	0.3949142385
254	0.3945765159
255	0.3941099623
256	0.3937301624
257	0.3934037154
258	0.393290553
259	0.3929262223
260	0.3927417791
261	0.3923793785
262	0.3920638162
263	0.3917830625
264	0.3916962531
265	0.3914012978
266	0.3913617296
267	0.3910673499
268	0.3907490328
269	0.390544233
270	0.390452076
271	0.3901453966
272	0.3900983752
273	0.3897590084
274	0.3895711249
275	0.3893406071
276	0.3891334016
277	0.3888330887
278	0.388499152
279	0.388392662
280	0.3881150056
281	0.3880601439
282	0.3879283687
283	0.3876560442
284	0.387541586
285	0.3874876289
286	0.3872386873
287	0.3869795
288	0.3866859565
289	0.3865171087
290	0.3861791644
291	0.3859873837
292	0.3857214399
293	0.3854246311
294	0.3850543189
295	0.3848980604
296	0.3844404497
297	0.3839812613
298	0.3839607523
299	0.3837387262
300	0.3836532215
301	0.3835218421
302	0.3832179333
303	0.383034386
304	0.3827762818
305	0.3825701826
306	0.3822109057
307	0.3820111304
308	0.381729549
309	0.3815127042
310	0.3811617392
311	0.3809041515
