iter	Passed	Remaining
0	4	2029
1	7	1859
2	10	1814
3	14	1799
4	17	1775
5	21	1777
6	25	1781
7	28	1762
8	32	1757
9	35	1744
10	39	1741
11	42	1731
12	45	1720
13	49	1713
14	52	1707
15	56	1706
16	60	1705
17	63	1702
18	67	1697
19	70	1694
20	74	1702
21	78	1700
22	81	1693
23	85	1687
24	88	1685
25	92	1684
26	95	1680
27	99	1678
28	103	1679
29	107	1677
30	110	1677
31	114	1673
32	117	1669
33	121	1665
34	124	1659
35	128	1655
36	131	1650
37	135	1646
38	139	1643
39	142	1643
40	146	1638
41	149	1635
42	153	1631
43	157	1628
44	160	1625
45	164	1620
46	168	1626
47	172	1623
48	175	1619
49	179	1615
50	183	1616
51	187	1616
52	192	1624
53	197	1632
54	202	1635
55	206	1633
56	210	1632
57	214	1631
58	217	1628
59	221	1626
60	226	1632
61	231	1636
62	235	1636
63	240	1638
64	244	1636
65	248	1633
66	252	1630
67	256	1627
68	260	1627
69	265	1630
70	270	1633
71	274	1632
72	278	1629
73	282	1627
74	286	1623
75	290	1618
76	294	1615
77	298	1614
78	302	1609
79	305	1606
80	309	1602
81	313	1598
82	317	1594
83	321	1591
84	325	1590
85	330	1592
86	334	1589
87	339	1587
88	343	1584
89	347	1582
90	351	1581
91	356	1578
92	360	1578
93	365	1577
94	369	1575
95	373	1573
96	378	1570
97	382	1567
98	386	1564
99	389	1559
100	393	1555
101	397	1551
102	402	1549
103	406	1546
104	409	1541
105	413	1537
106	417	1533
107	421	1529
108	425	1528
109	429	1523
110	434	1521
111	438	1517
112	441	1512
113	445	1507
114	449	1504
115	454	1503
116	458	1502
117	463	1499
118	466	1494
119	470	1490
120	474	1485
121	477	1480
122	481	1475
123	485	1470
124	488	1466
125	492	1460
126	496	1459
127	501	1456
128	505	1452
129	508	1448
130	512	1443
131	516	1439
132	520	1435
133	523	1431
134	528	1429
135	532	1425
136	536	1420
137	539	1415
138	543	1411
139	546	1406
140	550	1401
141	554	1397
142	557	1392
143	561	1387
144	564	1383
145	568	1378
146	571	1373
147	575	1368
148	578	1363
149	582	1359
150	586	1354
151	589	1350
152	593	1345
153	597	1341
154	601	1338
155	605	1334
156	609	1331
157	612	1326
158	616	1322
159	620	1318
160	624	1314
161	627	1309
162	631	1305
163	635	1302
164	639	1298
165	643	1293
166	646	1289
167	650	1285
168	653	1280
169	657	1275
170	660	1271
171	664	1267
172	668	1262
173	671	1258
174	675	1253
175	678	1249
176	682	1244
177	685	1240
178	688	1235
179	692	1231
180	696	1227
181	699	1222
182	703	1218
183	707	1214
184	710	1210
185	715	1207
186	719	1204
187	724	1201
188	728	1198
189	732	1194
190	736	1190
191	739	1186
192	744	1183
193	748	1179
194	753	1178
195	757	1174
196	760	1170
197	764	1166
198	768	1162
199	772	1158
200	776	1155
201	781	1153
202	785	1149
203	789	1145
204	792	1140
