iter	Logloss
0	0.6704177578
1	0.6509656687
2	0.6333469703
3	0.617420191
4	0.6034783652
5	0.5902805201
6	0.5786457182
7	0.568366167
8	0.5592946837
9	0.5510349039
10	0.5435093058
11	0.5376337128
12	0.5313384608
13	0.5259403312
14	0.5213490659
15	0.517337793
16	0.5128838277
17	0.509215375
18	0.5057270114
19	0.502624391
20	0.5003076814
21	0.497606479
22	0.495121518
23	0.4931256617
24	0.4912058232
25	0.4890204808
26	0.4873984823
27	0.4856336866
28	0.4838760223
29	0.4821251469
30	0.4808903635
31	0.4794896006
32	0.4782839273
33	0.4775145043
34	0.4764365038
35	0.474988436
36	0.4739418428
37	0.473087923
38	0.4720392063
39	0.471082539
40	0.4702376072
41	0.4694613707
42	0.46869129
43	0.4679765066
44	0.4672482075
45	0.4665446374
46	0.4658622555
47	0.4652000577
48	0.4645611853
49	0.4640486888
50	0.4634800884
51	0.4628266518
52	0.4621438058
53	0.4615752206
54	0.4610000074
55	0.4601567635
56	0.459490104
57	0.4589465697
58	0.4583655826
59	0.457761276
60	0.4571221285
61	0.4567572777
62	0.4563142589
63	0.4558446774
64	0.4554317795
65	0.4549716379
66	0.4546071751
67	0.4540394291
68	0.4535222045
69	0.4529857627
70	0.452578815
71	0.4523187892
72	0.4518525831
73	0.4514708072
74	0.450882023
75	0.4504419094
76	0.4501164514
77	0.4499336217
78	0.44963687
79	0.4492438371
80	0.4489436415
81	0.448680844
82	0.4481826836
83	0.4478014034
84	0.4474553163
85	0.4470590706
86	0.4467240018
87	0.4462890552
88	0.4460394582
89	0.445804135
90	0.445486888
91	0.4451590517
92	0.4448786261
93	0.4446356575
94	0.4442646143
95	0.443872764
96	0.4435536631
97	0.4431786383
98	0.4428999045
99	0.4426563436
100	0.4424048716
101	0.4421821088
102	0.4419243118
103	0.4416936906
104	0.4413346899
105	0.4409109504
106	0.4406968217
107	0.4403435007
108	0.4399238076
109	0.4395715075
110	0.4392339073
111	0.4389610189
112	0.4387482048
113	0.4384885759
114	0.4382322231
115	0.4380290119
116	0.4377038259
117	0.4374478585
118	0.4371221718
119	0.4368178418
120	0.4365224975
121	0.436184783
122	0.435880354
123	0.4357061285
124	0.4353852365
125	0.4350488158
126	0.4347257362
127	0.4345335822
128	0.4342971908
129	0.4340536905
130	0.4337695733
131	0.4335197633
132	0.4332068487
133	0.4330870856
134	0.4328042175
135	0.4325751126
136	0.4323856236
137	0.4321196601
138	0.431845136
139	0.4316447681
140	0.4314662938
141	0.4312859163
142	0.4310274917
143	0.4308665296
144	0.4306717232
145	0.4304430222
146	0.4301445144
147	0.4298241499
148	0.4295785789
149	0.4293655927
150	0.429083449
151	0.4287565527
152	0.4285681322
153	0.4283388203
154	0.4281029747
155	0.4277603577
156	0.4275515638
157	0.4273888175
158	0.427193546
159	0.4269269062
160	0.4266980014
161	0.4264305147
162	0.426143911
163	0.4258752349
164	0.4257231586
165	0.4255162077
166	0.4252713709
167	0.424933666
168	0.4246412154
169	0.4244558648
170	0.424255032
171	0.4240749745
172	0.4237799283
173	0.4236456019
174	0.4233815831
175	0.42308454
176	0.4228615348
177	0.4225066889
178	0.4223422926
179	0.4222208586
180	0.4220019755
181	0.4218702399
182	0.4215949067
183	0.4212505622
184	0.4210259945
185	0.4207541357
186	0.420373553
187	0.4201435299
188	0.4197274131
189	0.4195800252
190	0.4193281326
191	0.4191603653
192	0.4188813791
193	0.4187127494
194	0.4183620579
195	0.4180122061
196	0.4178168017
197	0.4175810908
198	0.4173582661
199	0.4172190854
200	0.4170145493
201	0.4167186372
202	0.4163831535
203	0.4162789454
204	0.4161143453
205	0.415892731
206	0.4156313421
207	0.4152419458
208	0.4149537702
209	0.4148257203
210	0.414545136
211	0.4144394881
212	0.4141077304
213	0.413976438
214	0.4137436804
215	0.4134883337
216	0.4131624328
217	0.4128559244
218	0.4125854655
219	0.4123459078
220	0.4120908854
221	0.4117469737
222	0.4115929243
223	0.4113223014
224	0.4108779823
225	0.4106305391
226	0.4104043658
227	0.4100399976
228	0.4098320665
229	0.4094607388
230	0.409187136
231	0.4090533965
232	0.408957313
233	0.408662819
234	0.4084017575
235	0.4082543356
236	0.4080667402
237	0.4078565418
238	0.4075297086
239	0.4072744047
240	0.4070440748
241	0.4067878714
242	0.4065567885
243	0.4063578369
244	0.4062371399
245	0.4059930963
246	0.4057307547
247	0.4054806269
248	0.4051660426
249	0.4048700833
250	0.4046655328
251	0.4044054892
252	0.4043105979
253	0.4040585616
254	0.4038286727
255	0.4035527042
256	0.4034115834
257	0.403274513
258	0.4029151598
259	0.4026102879
260	0.4023526029
261	0.4020404959
262	0.4017185373
263	0.4016006947
264	0.4012763284
265	0.4012020916
266	0.4009052513
267	0.4006240689
268	0.4002366232
269	0.4001669774
270	0.3999611329
271	0.3997431035
272	0.3995325624
273	0.3992215562
274	0.3990451985
275	0.3987795928
276	0.3984679112
277	0.398241901
278	0.3980945425
279	0.3979229924
280	0.3975877111
281	0.3973931646
282	0.3971994608
283	0.3969129558
284	0.3965857451
285	0.3964018205
286	0.3960827933
287	0.3960299141
288	0.3957872266
289	0.3955317311
290	0.3953860672
291	0.3953465011
292	0.3951516378
293	0.3950238437
294	0.3948142215
295	0.3946127133
296	0.3942595733
297	0.3940160975
298	0.3937425332
299	0.393663849
300	0.3934030244
301	0.3931780255
302	0.3930161627
303	0.3927246959
304	0.3924800809
305	0.3922631363
306	0.3919228358
307	0.3917663629
308	0.3916014701
309	0.3914005234
310	0.3913329563
311	0.3911593328
312	0.3909004188
313	0.3906350146
314	0.3903883844
315	0.3901425991
316	0.3898602763
317	0.3896562203
318	0.3894365665
319	0.3892451983
320	0.3888924133
321	0.3887074959
322	0.3884205324
323	0.3882356171
324	0.3879212162
325	0.3875491932
326	0.3872938518
327	0.3871149023
328	0.3869377833
329	0.3867261278
330	0.3864934539
331	0.3863056992
332	0.3859885483
333	0.3857091205
334	0.3854605699
335	0.3852585164
336	0.385126496
337	0.3848484102
338	0.384570606
339	0.3842472373
340	0.3840227908
341	0.3837373129
342	0.3834853393
343	0.3833326189
344	0.3830530739
345	0.3827206989
346	0.3826459279
347	0.382320257
348	0.3821152217
349	0.3818455202
350	0.3817816599
