iter	Passed	Remaining
0	5	2012
1	10	1888
2	15	1837
3	20	1805
4	26	1802
5	31	1824
6	36	1797
7	41	1793
8	47	1786
9	52	1776
10	57	1762
11	61	1744
12	65	1715
13	70	1697
14	75	1687
15	82	1730
16	90	1772
17	98	1819
18	102	1798
19	107	1786
20	113	1777
21	117	1761
22	122	1749
23	127	1737
24	132	1724
25	137	1715
26	142	1705
27	146	1694
28	151	1683
29	156	1679
30	162	1673
31	166	1662
32	172	1661
33	177	1654
34	182	1646
35	188	1645
36	193	1643
37	198	1638
38	204	1634
39	209	1628
40	214	1623
41	219	1617
42	225	1612
43	230	1606
44	235	1599
45	240	1594
46	245	1590
47	252	1592
48	256	1583
49	261	1573
50	265	1564
51	270	1554
52	275	1547
53	279	1539
54	284	1530
55	289	1522
56	293	1514
57	298	1505
58	303	1500
59	307	1493
60	312	1485
61	317	1478
62	321	1471
63	326	1465
64	331	1458
65	336	1451
66	340	1444
67	345	1436
68	349	1429
69	354	1423
70	359	1417
71	364	1410
72	368	1404
73	373	1397
74	378	1391
75	382	1384
76	387	1379
77	392	1372
78	396	1365
79	401	1359
80	405	1352
81	410	1346
82	415	1340
83	419	1334
84	424	1328
85	429	1322
86	434	1317
87	438	1311
88	443	1304
89	447	1298
90	452	1292
91	457	1286
92	461	1280
93	466	1274
94	470	1268
95	475	1262
96	480	1257
97	484	1251
98	489	1244
99	493	1239
100	498	1233
101	503	1227
102	507	1221
103	512	1216
104	516	1210
105	521	1204
106	525	1199
107	530	1193
108	534	1187
109	539	1181
110	544	1176
111	548	1170
112	553	1165
113	557	1159
114	562	1153
115	566	1147
116	571	1142
117	575	1137
118	580	1131
119	584	1125
120	589	1120
121	593	1114
122	598	1109
123	602	1103
124	607	1098
125	612	1093
126	616	1088
127	621	1083
128	626	1078
129	636	1081
130	640	1076
131	645	1070
132	650	1066
133	655	1060
134	661	1057
135	666	1054
136	672	1051
137	678	1047
138	682	1040
139	686	1035
140	691	1030
141	697	1026
142	701	1020
143	706	1014
144	711	1010
145	716	1005
146	721	1001
147	726	996
148	731	991
149	736	987
150	741	981
151	745	976
152	749	970
153	754	965
154	759	959
155	764	955
156	768	949
157	772	944
158	777	939
159	782	934
160	786	928
161	790	922
162	794	916
163	799	911
164	802	905
165	807	899
166	811	894
167	816	889
168	821	884
169	824	878
170	828	872
171	832	866
172	836	860
173	840	854
174	844	849
175	849	844
176	854	839
177	857	833
178	862	828
179	866	823
180	871	818
181	875	812
182	879	807
183	883	801
184	887	796
185	891	791
186	896	786
187	900	780
188	904	774
189	908	769
190	912	764
191	917	759
192	921	754
193	925	748
194	928	743
195	933	737
196	937	732
197	941	727
198	945	722
199	950	717
200	954	712
201	959	707
202	963	702
203	968	697
204	971	692
205	976	687
206	980	682
207	984	677
208	989	672
209	993	667
210	997	662
211	1001	656
212	1006	651
213	1010	646
214	1014	641
215	1018	636
216	1022	631
217	1026	626
218	1030	621
219	1034	616
220	1038	610
221	1042	605
222	1046	600
223	1050	595
224	1054	590
225	1059	585
226	1063	580
227	1067	575
228	1072	571
229	1076	566
230	1080	561
231	1084	556
232	1088	551
233	1092	546
234	1097	541
235	1102	537
236	1106	532
237	1111	527
238	1116	523
239	1121	518
240	1126	514
241	1130	509
242	1135	504
243	1140	499
244	1144	495
245	1148	490
246	1152	485
247	1155	480
248	1159	475
249	1163	470
250	1168	465
251	1172	460
252	1176	455
253	1180	450
254	1184	446
255	1188	441
256	1192	436
257	1196	431
258	1201	426
259	1204	421
260	1209	417
261	1213	412
262	1217	407
263	1221	402
264	1226	397
265	1230	393
266	1234	388
267	1238	383
268	1243	378
269	1247	374
270	1251	369
271	1255	364
272	1259	359
273	1263	355
274	1267	350
275	1272	345
276	1276	341
277	1281	336
278	1286	331
279	1290	327
280	1294	322
281	1298	317
282	1303	313
283	1307	308
284	1312	303
285	1315	299
286	1320	294
287	1324	289
288	1328	284
289	1332	280
290	1336	275
291	1339	270
292	1344	266
293	1348	261
294	1352	256
295	1357	252
296	1361	247
297	1364	242
298	1368	238
299	1372	233
300	1376	228
301	1381	224
302	1385	219
303	1390	215
304	1395	210
305	1399	205
306	1404	201
307	1409	196
308	1414	192
309	1419	187
310	1424	183
311	1429	178
312	1434	174
313	1439	169
314	1445	165
315	1450	160
316	1455	156
317	1460	151
318	1465	147
319	1470	142
320	1475	137
321	1480	133
322	1484	128
323	1490	124
324	1495	119
325	1500	115
326	1504	110
327	1509	105
328	1514	101
329	1519	96
330	1524	92
331	1529	87
332	1534	82
333	1539	78
334	1543	73
335	1548	69
336	1553	64
337	1557	59
338	1563	55
339	1567	50
340	1571	46
341	1576	41
342	1581	36
343	1586	32
344	1590	27
345	1596	23
346	1600	18
347	1605	13
348	1609	9
349	1614	4
350	1618	0
