iter	Logloss
0	0.6927180922
1	0.6922283862
2	0.6918505014
3	0.6914843824
4	0.6911091632
5	0.6906471712
6	0.6903021939
7	0.6899215514
8	0.6895353478
9	0.6892406969
10	0.6888563777
11	0.6883516427
12	0.687921547
13	0.6875319883
14	0.687190412
15	0.6867923966
16	0.6864407551
17	0.6860975702
18	0.6857402296
19	0.6853034697
20	0.6849330305
21	0.6845472864
22	0.6841825922
23	0.6838311804
24	0.6834502622
25	0.6831463733
26	0.682771338
27	0.6823101274
28	0.6819837639
29	0.6816003639
30	0.6812423338
31	0.6808573711
32	0.6804764989
33	0.6800738415
34	0.6796884652
35	0.6793725807
36	0.6790479637
37	0.6786811553
38	0.6782892986
39	0.6778662808
40	0.677491797
41	0.6772459559
42	0.6768209159
43	0.6764001502
44	0.6760462566
45	0.6756509528
46	0.6752693452
47	0.6749164168
48	0.6745045214
49	0.6741911187
50	0.6738375009
51	0.6734422431
52	0.6730672997
53	0.6726713066
54	0.6723516993
55	0.6719472954
56	0.6716200128
57	0.67130206
58	0.6708646567
59	0.6704761091
60	0.6701510326
61	0.6697899232
62	0.6694804732
63	0.6690951887
64	0.6687150978
65	0.6683999487
66	0.6680665074
67	0.6677805429
68	0.6673902029
69	0.6670312537
70	0.6667341669
71	0.6663423102
72	0.6660551048
73	0.6656410493
74	0.6653371144
75	0.665017645
76	0.6646632459
77	0.6642613698
78	0.6638010783
79	0.6634856534
80	0.6631504656
81	0.6628527814
82	0.6625500415
83	0.6621964236
84	0.6618855488
85	0.6616051915
86	0.6612340169
87	0.6608343469
88	0.6605294928
89	0.6601495398
90	0.6598180748
91	0.65941243
92	0.6590930065
93	0.6587565319
94	0.6584531485
95	0.6580758612
96	0.6577739486
97	0.6574306718
98	0.6571155226
99	0.6567782666
100	0.6564888552
101	0.6561427748
102	0.6557826766
103	0.6554731806
104	0.6551327993
105	0.6545837127
106	0.6542481572
107	0.6539097981
108	0.6535404619
109	0.6531583947
110	0.6528706378
111	0.6525561321
112	0.6522400178
113	0.6519598903
114	0.6516064104
115	0.6512749454
116	0.6509390222
117	0.65062971
118	0.6502972339
119	0.6500353986
120	0.6496875257
121	0.6494226111
122	0.6491148156
123	0.648758578
124	0.6484852067
125	0.6481343465
126	0.6477955278
127	0.6474711407
128	0.647126531
129	0.6468082106
130	0.6465068036
131	0.6461450048
132	0.6458378987
133	0.6454940244
134	0.6451540108
135	0.6448143649
136	0.6445085457
137	0.6441536409
138	0.6437929452
139	0.6434679606
140	0.6432513501
141	0.6429252165
142	0.642603587
143	0.6423111881
144	0.6419953955
145	0.6416065262
146	0.6411283562
147	0.6407948689
148	0.6404259004
149	0.6401397521
150	0.6398201448
151	0.6395061447
152	0.6391464601
153	0.6388653675
154	0.6385227801
155	0.6382349313
