iter	MAPE	RMSE
0	0.9412843829	1166376.398
1	0.8887752325	1116535.583
2	0.839092116	1068872.566
3	0.7912320052	1024278.762
4	0.7448417078	982861.1694
5	0.7022767255	942200.4965
6	0.6622739841	904260.8135
7	0.6239947916	868388.504
8	0.5881824776	834655.06
9	0.5535195195	802942.9954
10	0.5207027685	773184.0108
11	0.4902903079	745326.1477
12	0.4625930597	718013.2745
13	0.4363843254	692575.4101
14	0.4116531568	668905.6707
15	0.3893369488	646187.0194
16	0.3672635036	625556.0417
17	0.3482915314	605343.7579
18	0.3306214538	587318.7768
19	0.3143501801	569602.9918
20	0.299766524	553742.3662
21	0.2861343481	537943.5135
22	0.2745316424	523652.908
23	0.2641744053	509630.0469
24	0.2548720965	497028.9012
25	0.2463285627	484682.7774
26	0.2384554396	473452.744
27	0.2315363286	462116.3277
28	0.2255132737	452516.7262
29	0.2199314356	443320.7382
30	0.215480375	434408.8865
31	0.2114915344	425991.7251
32	0.2080674683	418453.1822
33	0.2049620003	411263.1403
34	0.202384533	404506.5156
35	0.2004671616	398663.568
36	0.1983476986	392824.6086
37	0.1965288627	387050.9698
38	0.1953917029	382876.9241
39	0.1941917318	378135.6801
40	0.1934708839	374092.2451
41	0.192639752	369851.743
42	0.1917224696	365856.6007
43	0.1903602645	362134.115
44	0.1898790983	358905.0505
45	0.1893819224	355343.4403
46	0.1891251238	352506.6204
47	0.1887353119	349440.6451
48	0.188663458	346832.2872
49	0.1887410915	344510.4437
50	0.1884036767	342089.9225
51	0.1875909274	339780.4594
52	0.1878026718	337804.0854
53	0.1877749568	335713.0783
54	0.187997326	333830.5959
55	0.1881163142	332072.2967
56	0.1874810241	330371.79
57	0.1878078532	328929.07
58	0.1878712237	327613.8616
59	0.1879412158	326420.1341
60	0.1879782381	325117.3556
61	0.1875863533	323855.602
62	0.1872671932	322639.8474
63	0.1873427871	321391.1521
64	0.1868822656	320374.6802
65	0.1869412168	319393.4067
66	0.1865460226	318289.8987
67	0.186524692	317347.5338
68	0.1861735581	316371.0366
69	0.1860065304	315302.902
70	0.1859674915	314501.0251
71	0.1859147294	313732.869
72	0.1859701087	312750.7551
73	0.1859639433	311853.5388
74	0.1859112673	311118.003
75	0.1859482215	310497.857
76	0.1858549346	309886.3993
77	0.1858642455	309233.0985
78	0.185404415	308569.0673
79	0.1849927272	307869.3356
80	0.1845471221	307012.8708
81	0.1844579727	306357.5272
82	0.1842684385	305680.1653
83	0.1843057279	305279.3502
84	0.1842896893	304873.5117
85	0.1842053016	304303.9056
86	0.1842863673	303781.5785
87	0.1838335253	303180.7098
88	0.1837179719	302585.7052
89	0.1837334064	302133.6422
