iter	Passed	Remaining
0	17	69592
1	39	78600
2	64	86039
3	88	88667
4	111	89290
5	134	89266
6	156	89381
7	182	91224
8	210	93135
9	234	93595
10	258	93633
11	283	94094
12	307	94206
13	331	94298
14	353	93879
15	377	93988
16	402	94386
17	424	93967
18	449	94192
19	471	93805
20	492	93312
21	516	93319
22	539	93288
23	564	93453
24	585	93131
25	607	92895
26	636	93605
27	660	93645
28	683	93590
29	704	93180
30	727	93176
31	750	93030
32	769	92491
33	790	92157
34	816	92488
35	843	92841
36	868	93017
37	894	93245
38	914	92898
39	937	92835
40	960	92749
41	983	92698
42	1005	92568
43	1032	92843
44	1054	92678
45	1080	92843
46	1100	92574
47	1120	92284
48	1144	92300
49	1164	91991
50	1184	91688
51	1206	91587
52	1229	91542
53	1251	91449
54	1272	91291
55	1294	91169
56	1316	91066
57	1339	91024
58	1362	91019
59	1381	90731
60	1403	90598
61	1425	90519
62	1448	90493
63	1469	90395
64	1493	90416
65	1515	90309
66	1536	90188
67	1560	90249
68	1582	90133
69	1605	90140
70	1629	90178
71	1649	89992
72	1670	89874
73	1692	89798
74	1713	89651
75	1734	89570
76	1758	89593
77	1779	89476
78	1801	89409
79	1825	89473
80	1846	89357
81	1869	89304
82	1891	89272
83	1913	89197
84	1934	89109
85	1958	89112
86	1979	89047
87	2002	89004
88	2025	89023
89	2046	88905
90	2068	88853
91	2090	88791
92	2110	88668
93	2134	88685
94	2159	88748
95	2181	88734
96	2205	88725
97	2226	88660
98	2247	88579
99	2271	88595
100	2297	88676
101	2320	88673
102	2345	88724
103	2366	88661
104	2389	88627
105	2410	88565
106	2433	88549
107	2455	88495
108	2476	88396
109	2497	88325
110	2522	88361
111	2543	88288
112	2564	88220
113	2589	88275
114	2612	88269
115	2637	88314
116	2660	88288
117	2683	88266
118	2704	88201
119	2725	88116
120	2747	88077
121	2770	88071
122	2791	87989
123	2813	87941
124	2838	87990
125	2860	87958
126	2883	87949
127	2907	87953
128	2931	87965
129	2954	87957
130	2975	87872
131	2998	87858
132	3019	87792
133	3042	87791
134	3063	87715
135	3086	87685
136	3106	87606
137	3128	87544
138	3151	87541
139	3173	87493
140	3195	87458
141	3218	87439
142	3239	87374
143	3260	87299
144	3284	87323
145	3307	87305
146	3328	87246
147	3352	87261
148	3372	87175
149	3394	87116
150	3415	87071
151	3436	86995
152	3457	86942
153	3482	86978
154	3503	86918
155	3525	86865
156	3549	86873
157	3570	86827
158	3592	86776
159	3617	86813
160	3640	86813
161	3665	86833
162	3686	86778
163	3708	86743
164	3731	86726
165	3752	86676
166	3774	86623
167	3797	86621
168	3818	86568
169	3839	86503
170	3863	86520
171	3885	86481
172	3909	86494
173	3931	86445
174	3949	86327
175	3972	86322
176	3995	86287
177	4017	86267
178	4039	86220
179	4063	86239
180	4086	86213
181	4107	86165
182	4129	86141
183	4152	86117
184	4175	86101
185	4197	86067
186	4217	86006
187	4239	85960
188	4263	85965
189	4284	85919
190	4308	85913
191	4330	85894
192	4352	85863
193	4376	85855
194	4396	85782
195	4418	85745
196	4443	85771
197	4465	85746
198	4486	85688
199	4507	85635
200	4530	85622
201	4552	85590
202	4576	85604
