iter	MAPE	RMSE
0	0.5141341648	602103.865
1	0.4969667206	585990.6833
2	0.4808493481	570567.6064
3	0.4645427933	555126.8162
4	0.4503511402	541698.8192
5	0.4360953432	528266.9736
6	0.4227977684	515781.5649
7	0.4110555879	504941.2865
8	0.3993272485	493663.5049
9	0.3890266138	483463.2961
10	0.3775196937	473005.2156
11	0.3672406121	463364.3847
12	0.3580018939	454805.4761
13	0.349122967	446438.8943
14	0.3409294561	438700.0268
15	0.3326844525	431748.9845
16	0.3244634581	424527.4774
17	0.3170555926	417937.1226
18	0.3100615721	411484.5791
19	0.3037570463	405450.7023
20	0.2979603703	400227.9754
21	0.2921815063	394769.4023
22	0.286773944	389866.5873
23	0.2817060634	385090.7346
24	0.2766112742	380608.6291
25	0.2727991709	376755.6037
26	0.2688300602	373258.2582
27	0.2655519773	369897.1816
28	0.2617076077	366634.3045
29	0.2583819216	363920.5729
30	0.2548990563	360920.1528
31	0.2517770361	358046.572
32	0.2486954334	355083.0662
33	0.2458763876	352698.6872
34	0.242605452	349957.1251
35	0.2400943901	347846.039
36	0.2376615245	345540.2813
37	0.2353468051	343561.0909
38	0.2336646206	341896.2303
39	0.2319327685	340281.4408
40	0.2301597852	338726.6792
41	0.2280005466	337082.092
42	0.2259395861	335649.5852
43	0.2243938733	334138.8204
44	0.2230118255	332566.7471
45	0.2215107039	331113.975
46	0.2194149438	329315.5261
47	0.2180976328	327910.1629
48	0.2163128461	326585.1052
49	0.2145544749	325463.3614
50	0.2132271935	324279.4577
51	0.2116703964	323140.7411
52	0.2101680794	321859.5004
53	0.2090589741	320996.4964
54	0.2078386885	320095.6114
55	0.2065679336	319231.5185
56	0.20550416	318075.304
57	0.2041945245	317082.101
58	0.2031036781	316049.4899
59	0.2021651981	315284.8203
60	0.2013831942	314381.0668
61	0.2004738748	313500.6237
62	0.1995150525	312667.002
63	0.1985974307	311914.4608
64	0.1976509672	311052.1426
65	0.1967781057	310279.9648
66	0.1961322305	309538.1104
67	0.1951509985	308930.9749
68	0.1944779627	307972.5097
69	0.1936394805	307248.2338
70	0.1930831581	306655.6789
71	0.1924729827	306047.2903
72	0.1918683021	305445.2941
73	0.1910939427	304981.6022
74	0.1907284548	304486.1497
75	0.1901917646	303807.9306
76	0.1896037433	303343.896
77	0.189003058	302733.1524
78	0.1883787454	302242.3299
79	0.1877325473	301652.1517
80	0.1870275859	300821.9756
81	0.1865666396	300339.064
82	0.1861315905	299897.2081
83	0.1855619193	299361.8107
84	0.1851279469	298820.6908
85	0.1849812819	298521.1727
86	0.1843477132	298122.6591
87	0.1839686769	297645.1878
88	0.1837058061	297047.0334
89	0.1830109548	296685.1954
90	0.182512398	296180.6543
91	0.1822489024	295726.2169
92	0.1819307337	295223.4606
93	0.1816073808	294889.1414
94	0.1812852399	294555.8683
95	0.1807970229	294153.6104
96	0.1804819005	293844.7225
97	0.1801843625	293442.7727
98	0.1799198633	293016.2677
99	0.1797677916	292636.2916
100	0.179434214	292341.5444
101	0.1789591905	292059.6116
102	0.1787153393	291784.4601
103	0.1783836682	291452.4489
104	0.1782512328	291359.9925
105	0.1780207584	291080.8526
106	0.1776635947	290485.2777
107	0.1773972824	290271.4834
108	0.1769865987	290055.6393
109	0.1766882896	289611.1541
110	0.1764338986	289254.3265
111	0.1762289471	288933.1916
112	0.1760669538	288759.5588
113	0.1758317363	288333.0729
114	0.1755197468	287969.3101
115	0.1752356878	287596.981
116	0.1750263692	287357.0513
117	0.1746705092	287085.8272
118	0.1744436992	286737.8258
119	0.1742790452	286410.9419
120	0.1741194364	286069.7031
121	0.173997465	285913.8112
122	0.1737867116	285560.2664
123	0.1737582047	285383.204
124	0.1735984214	285137.7526
125	0.1735120763	284934.303
126	0.1733521142	284596.7473
127	0.173116697	284235.7619
128	0.1726974786	283863.2237
129	0.1724012692	283494.6057
130	0.1721781843	283124.276
131	0.1720846144	282883.0599
132	0.1718711442	282736.6265
133	0.1716500235	282495.2406
134	0.17149275	282191.8518
135	0.1714228085	281982.8556
136	0.1713940829	281834.8727
137	0.1712670702	281508.1915
138	0.1711101711	281248.3764
139	0.1707921368	281015.2569
140	0.1707792234	280940.6046
141	0.1707154933	280863.3242
142	0.1705924208	280688.5895
143	0.1704548626	280414.0206
144	0.1701758455	280298.3532
145	0.1700942834	280155.9939
146	0.1700017543	279852.6768
147	0.169811173	279702.6789
148	0.1697501228	279539.2929
149	0.1695851142	279217.0812
150	0.169510471	279109.2596
151	0.1692815331	278838.902
152	0.1692281944	278728.7722
153	0.1690919701	278473.5535
154	0.1690030654	278203.5335
155	0.1689491709	278109.4747
156	0.1688143924	277924.6855
157	0.1686810741	277775.5449
158	0.1684989487	277503.8231
159	0.1682936372	277235.7444
160	0.1681482091	277011.2904
161	0.1679951094	276756.7774
162	0.1678097765	276551.7655
163	0.1675490925	276426.0775
164	0.1674620048	276291.2712
165	0.1673592729	276189.1501
166	0.1673168899	276063.7487
167	0.1672078246	275879.2697
168	0.16707301	275706.5685
169	0.1670730315	275705.5423
170	0.1669545575	275390.1842
171	0.1668948169	275268.4137
172	0.1667845949	274833.8985
173	0.166670781	274585.3386
174	0.16657225	274465.4587
175	0.1663246173	274321.3229
176	0.1661907036	273837.049
177	0.1661227125	273733.3124
178	0.166000124	273559.9461
179	0.1658898835	273410.3449
180	0.1658501983	273305.5626
181	0.1657331618	273087.4474
182	0.1656357298	272890.5288
183	0.1654150069	272576.2833
184	0.1652655798	272225.6722
185	0.165012938	272031.9953
186	0.1649761331	271772.6437
187	0.1647774859	271612.8578
188	0.1646899179	271479.3241
189	0.1645893869	271259.2844
190	0.1645672818	271141.9937
191	0.1644554925	270899.3868
192	0.1643888418	270816.7459
193	0.1643266339	270700.2689
194	0.1642330844	270553.4505
195	0.1641443631	270291.4278
196	0.1640966516	270206.1697
197	0.1640273864	269908.3024
198	0.1639257062	269652.7319
199	0.1638833403	269400.2262
200	0.1637382722	269149.947
201	0.1636052337	268962.4388
202	0.1635764008	268770.0635
203	0.163466115	268536.2038
204	0.1634376252	268412.588
205	0.1633127417	268238.2078
206	0.1632051577	268112.6861
207	0.1631180203	267919.4902
208	0.1630234086	267706.6936
209	0.1629521083	267460.0845
210	0.1628784856	267072.7049
211	0.1628023126	266911.2776
212	0.1626869702	266724.8297
213	0.1626244764	266604.1138
214	0.1625236215	266443.5623
215	0.1623324903	266226.0324
216	0.1622104678	265980.9176
217	0.1621797469	265886.0284
218	0.1621595814	265776.268
219	0.1620721117	265633.8291
220	0.1619371771	265387.7305
221	0.1618541776	265204.1921
222	0.1617402059	264961.3506
223	0.1616728315	264635.873
224	0.1615932822	264398.372
225	0.1614332527	264211.4725
226	0.16140083	264055.8832
227	0.1612938749	263872.7794
228	0.1610617895	263707.3745
229	0.1610145552	263534.1722
230	0.1608871006	263300.9279
231	0.1608252402	263230.6018
232	0.1607532177	263131.2921
233	0.1607023648	262999.266
234	0.1606917196	262833.503
235	0.16056911	262530.0708
236	0.1605560316	262507.4053
237	0.160453433	262397.658
238	0.1604053734	262263.3122
239	0.1602200672	262015.6564
240	0.160143565	261863.118
241	0.1599440618	261561.7526
242	0.1599475136	261551.1415
243	0.1599477523	261515.71
244	0.1597870388	261334.6508
245	0.1596867733	261066.2693
246	0.1595383165	260923.088
247	0.159415654	260731.9871
248	0.1594130408	260718.3057
249	0.1593965702	260589.1173
250	0.1592866581	260414.6353
251	0.1592303083	260186.7732
252	0.1590739353	259928.337
253	0.1590693615	259882.3332
254	0.1590347073	259760.1981
255	0.1589690241	259598.9854
256	0.1588530387	259453.4454
257	0.1588305794	259402.8591
258	0.1587283028	259259.1129
259	0.1586425572	259083.5731
260	0.1586353176	259051.4376
261	0.1585158589	258798.3195
262	0.1584863141	258699.7498
263	0.1583996142	258617.3134
264	0.1582721678	258413.9121
265	0.1582614392	258392.8174
266	0.158183625	258225.1741
267	0.1580403972	258015.1759
268	0.1579592415	257888.0948
269	0.1577901309	257721.6433
270	0.157699453	257493.5225
271	0.1576732943	257335.6051
272	0.1575743393	257135.0767
273	0.157505987	257079.1074
274	0.157450949	256960.1263
275	0.15740191	256831.0005
276	0.1573488453	256644.7202
277	0.1572486371	256426.4154
278	0.157222617	256356.4302
279	0.1571672541	256228.023
280	0.1569707292	256039.5102
281	0.1568214708	255766.8296
282	0.1567256765	255545.2795
283	0.1566119529	255411.6447
284	0.1566059876	255381.5902
285	0.1565402525	255224.0726
286	0.1565165368	255130.1889
287	0.1565132081	255122.2507
288	0.1564502125	255043.352
289	0.1563917042	254931.5001
290	0.1561823626	254709.5304
291	0.1561724742	254658.3446
292	0.1561615459	254610.7156
293	0.1561036894	254546.296
294	0.1561013724	254540.8434
295	0.1560323981	254392.9
296	0.1559884211	254285.8436
297	0.1559795596	254235.0656
298	0.155939587	254083.1078
299	0.1557257195	253847.0484
300	0.1556938484	253760.7886
301	0.1555913682	253519.6863
302	0.1555760464	253471.7796
303	0.1555244223	253425.1633
304	0.1554274674	253322.0061
305	0.1553931686	253206.6368
306	0.1553467888	253072.9257
307	0.1553434176	253064.5429
308	0.1552108858	252942.3458
