iter	Passed	Remaining
0	24	95743
1	47	91145
2	70	90538
3	93	90419
4	116	89511
5	136	87892
6	162	89424
7	189	91062
8	213	91464
9	237	91479
10	260	91217
11	284	91136
12	309	91408
13	328	90265
14	351	89941
15	373	89672
16	393	88785
17	414	88352
18	438	88653
19	461	88609
20	485	88687
21	508	88575
22	531	88545
23	552	88271
24	574	88083
25	595	87798
26	617	87617
27	640	87652
28	660	87154
29	683	87231
30	708	87393
31	727	87009
32	750	86910
33	774	87052
34	796	86958
35	819	87020
36	840	86807
37	862	86686
38	886	86826
39	908	86679
40	929	86520
41	953	86609
42	975	86520
43	996	86397
44	1017	86163
45	1038	86039
46	1059	85887
47	1081	85790
48	1103	85749
49	1124	85582
50	1145	85514
51	1168	85478
52	1190	85411
53	1212	85369
54	1233	85289
55	1255	85206
56	1276	85119
57	1298	85059
58	1319	84912
59	1340	84803
60	1362	84771
61	1385	84776
62	1407	84733
63	1432	84896
64	1455	84884
65	1475	84761
66	1499	84802
67	1518	84628
68	1541	84611
69	1576	85303
70	1600	85371
71	1622	85288
72	1643	85200
73	1665	85120
74	1686	85066
75	1709	85033
76	1732	85030
77	1754	84979
78	1779	85093
79	1804	85171
80	1825	85102
81	1847	85031
82	1869	85017
83	1889	84885
84	1913	84928
85	1938	84997
86	1961	85007
87	1984	84988
88	2006	84966
89	2029	84948
90	2053	84989
91	2076	84986
92	2100	84999
93	2122	84975
94	2144	84937
95	2169	84994
96	2192	84976
97	2215	84966
98	2238	84980
99	2259	84893
100	2281	84826
101	2303	84798
102	2324	84733
103	2347	84715
104	2371	84730
105	2392	84653
106	2415	84640
107	2437	84611
108	2460	84588
109	2482	84553
110	2505	84558
111	2529	84569
112	2552	84563
113	2576	84602
114	2599	84580
115	2621	84529
116	2644	84538
117	2665	84466
118	2687	84423
119	2710	84401
120	2732	84356
121	2753	84295
122	2776	84295
123	2799	84274
124	2821	84240
125	2842	84158
126	2882	84649
127	2904	84606
128	2927	84589
129	2949	84560
130	2970	84501
131	2994	84489
132	3016	84468
133	3039	84452
134	3062	84441
135	3084	84380
136	3104	84286
137	3126	84259
138	3149	84246
139	3170	84184
140	3193	84163
141	3216	84153
142	3238	84102
143	3262	84123
144	3283	84049
145	3304	84002
146	3327	83978
147	3350	83975
148	3373	83960
149	3396	83937
150	3418	83910
151	3440	83856
152	3462	83826
153	3484	83777
154	3509	83809
155	3532	83817
156	3553	83743
157	3575	83717
158	3599	83709
159	3622	83696
160	3644	83664
161	3665	83613
162	3688	83589
163	3710	83547
164	3734	83564
165	3756	83532
166	3781	83549
167	3803	83522
168	3826	83506
169	3834	83158
170	3854	83079
171	3877	83083
172	3898	83014
173	3920	82984
174	3944	82993
175	3966	82958
176	3988	82929
177	4009	82877
178	4031	82832
179	4055	82855
180	4077	82809
181	4099	82774
182	4121	82740
183	4143	82703
184	4165	82688
185	4189	82680
186	4212	82667
187	4233	82614
188	4256	82608
189	4279	82587
190	4301	82570
191	4324	82546
192	4345	82503
193	4368	82491
194	4391	82463
195	4412	82414
196	4433	82360
197	4456	82362
198	4480	82353
199	4503	82351
200	4528	82365
201	4551	82360
202	4573	82324
203	4592	82237
204	4612	82174
205	4634	82142
206	4656	82106
207	4679	82088
208	4703	82091
209	4725	82068
210	4747	82040
211	4774	82096
212	4800	82119
213	4823	82107
214	4844	82063
215	4866	82031
216	4892	82069
217	4915	82049
218	4937	82020
219	4960	82001
220	4982	81976
221	5005	81961
222	5028	81948
223	5050	81917
224	5075	81926
225	5097	81898
226	5120	81876
227	5140	81821
228	5162	81794
229	5185	81779
230	5208	81754
231	5228	81698
232	5250	81661
233	5273	81649
234	5295	81611
235	5317	81582
236	5337	81531
237	5359	81500
238	5383	81488
239	5402	81421
240	5428	81450
241	5450	81419
242	5472	81390
243	5494	81363
244	5518	81365
245	5541	81337
246	5564	81325
247	5585	81289
248	5607	81253
249	5629	81223
250	5654	81233
251	5676	81202
252	5699	81182
253	5723	81182
254	5745	81157
255	5767	81129
256	5792	81134
257	5813	81100
258	5836	81080
259	5858	81046
260	5880	81026
261	5901	80982
262	5922	80934
263	5943	80884
264	5965	80866
265	5989	80856
266	6011	80824
267	6036	80834
268	6058	80806
269	6080	80784
270	6102	80746
271	6122	80693
272	6145	80677
273	6167	80649
274	6189	80619
275	6211	80589
276	6233	80557
277	6255	80536
278	6280	80546
279	6303	80524
280	6324	80483
281	6348	80482
282	6370	80450
283	6390	80401
284	6413	80388
285	6436	80368
286	6457	80322
287	6479	80291
288	6501	80271
289	6522	80228
290	6543	80190
291	6566	80173
292	6588	80143
293	6610	80115
294	6632	80079
295	6652	80035
296	6675	80011
297	6698	79993
298	6718	79951
299	6740	79913
300	6763	79901
301	6786	79889
302	6808	79854
303	6830	79834
304	6851	79792
305	6873	79768
306	6896	79742
307	6916	79697
308	6936	79651
309	6959	79626
310	6981	79607
311	7000	79537
312	7020	79491
313	7043	79480
314	7064	79439
315	7086	79413
316	7109	79388
317	7131	79360
318	7152	79323
319	7175	79308
320	7196	79272
321	7217	79232
322	7237	79188
323	7258	79152
324	7277	79094
325	7298	79055
326	7320	79026
327	7343	79009
328	7366	78995
329	7388	78963
330	7410	78945
331	7433	78921
332	7457	78922
333	7481	78912
334	7506	78917
335	7529	78901
336	7550	78869
337	7572	78839
338	7594	78814
339	7615	78770
340	7636	78743
341	7661	78741
342	7683	78718
343	7706	78700
344	7727	78668
345	7749	78637
346	7770	78599
347	7794	78593
348	7817	78579
349	7839	78555
350	7861	78526
351	7884	78505
352	7905	78474
353	7928	78456
354	7948	78412
355	7970	78388
356	7994	78375
357	8017	78365
358	8041	78353
359	8063	78325
360	8084	78289
361	8105	78253
362	8126	78220
363	8145	78165
364	8166	78132
365	8190	78120
366	8213	78109
367	8234	78074
368	8256	78044
369	8277	78005
370	8297	77964
371	8319	77939
372	8341	77913
373	8362	77875
374	8382	77836
375	8405	77821
376	8427	77793
377	8449	77765
378	8471	77739
379	8494	77720
380	8517	77705
381	8538	77677
382	8560	77651
383	8582	77620
384	8604	77596
385	8624	77553
386	8643	77497
387	8663	77459
388	8686	77437
389	8707	77408
390	8727	77366
391	8748	77332
392	8771	77317
393	8794	77295
394	8814	77258
395	8836	77234
396	8856	77189
397	8877	77155
398	8900	77139
399	8923	77120
400	8946	77102
401	8965	77050
402	8986	77018
403	9009	77007
404	9033	76997
405	9055	76973
406	9076	76937
407	9098	76910
408	9121	76896
409	9146	76899
410	9171	76898
411	9194	76877
412	9215	76850
413	9237	76826
414	9262	76821
415	9285	76806
416	9308	76785
417	9329	76755
418	9354	76756
419	9378	76746
420	9402	76742
421	9425	76717
422	9446	76689
423	9469	76670
424	9495	76676
425	9518	76662
426	9541	76645
427	9562	76611
428	9585	76594
429	9608	76573
430	9628	76539
431	9649	76502
432	9671	76479
433	9696	76475
434	9719	76456
435	9740	76427
436	9760	76383
437	9782	76359
438	9804	76337
439	9827	76317
440	9852	76319
441	9877	76312
442	9897	76271
443	9917	76234
444	9940	76215
445	9958	76160
446	9983	76158
447	10003	76123
448	10026	76099
449	10044	76045
450	10066	76024
451	10089	76007
452	10112	75992
453	10135	75974
454	10156	75936
455	10178	75911
456	10202	75906
457	10228	75911
458	10254	75912
459	10275	75885
460	10298	75868
461	10322	75853
462	10342	75816
463	10367	75809
464	10388	75780
465	10408	75743
466	10431	75720
467	10454	75705
468	10478	75697
469	10502	75687
470	10524	75662
471	10547	75639
472	10568	75609
473	10590	75583
474	10614	75574
475	10636	75552
476	10657	75516
477	10680	75502
478	10704	75490
479	10725	75456
480	10747	75434
481	10771	75423
482	10794	75406
483	10819	75398
484	10840	75369
485	10864	75356
486	10885	75326
487	10906	75295
488	10929	75277
489	10950	75245
490	10972	75221
491	10995	75203
492	11017	75176
493	11038	75146
494	11062	75133
495	11084	75112
496	11105	75078
497	11125	75038
498	11146	75010
499	11169	74989
500	11191	74964
