iter	Passed	Remaining
0	9	47697
1	13	34759
2	19	32463
3	30	37534
4	35	35809
5	43	35827
6	53	38511
7	63	39351
8	73	40958
9	84	42187
10	94	43083
11	105	43894
12	116	44532
13	126	45205
14	132	44133
15	141	44166
16	152	44645
17	163	45347
18	177	46402
19	188	46832
20	192	45582
21	201	45536
22	206	44765
23	217	45084
24	228	45376
25	233	44741
26	244	45022
27	253	45045
28	264	45289
29	274	45526
30	286	45847
31	294	45737
32	301	45372
33	309	45260
34	321	45653
35	333	45991
36	342	45906
37	352	46039
38	359	45774
39	370	45888
40	380	46005
41	389	45971
42	400	46118
43	407	45880
44	418	46032
45	428	46164
46	434	45786
47	444	45869
48	455	45987
49	462	45794
50	472	45890
51	483	46019
52	494	46115
53	501	45917
54	510	45894
55	517	45705
56	528	45805
57	539	45935
58	549	46049
59	560	46135
60	571	46244
61	576	45943
62	587	46013
63	597	46097
64	606	46084
65	614	45918
66	624	46010
67	634	45989
68	641	45844
69	652	45920
70	662	46011
71	670	45871
72	680	45936
73	684	45575
74	693	45528
75	703	45592
76	714	45688
77	718	45365
78	727	45319
79	738	45388
80	748	45468
81	760	45618
82	766	45386
83	777	45527
84	787	45515
85	797	45593
86	806	45568
87	817	45645
88	828	45699
89	838	45767
90	849	45840
91	860	45909
92	867	45795
93	873	45590
94	882	45562
95	892	45608
96	900	45501
97	910	45559
98	921	45609
99	932	45671
100	942	45728
101	953	45806
102	965	45889
103	976	45948
104	986	45987
105	997	46036
106	1004	45934
107	1013	45898
108	1023	45933
109	1032	45906
110	1043	45941
111	1053	45993
112	1064	46036
113	1075	46081
114	1085	46119
115	1094	46081
116	1103	46043
117	1113	46079
118	1124	46116
119	1135	46180
120	1144	46152
121	1151	46056
122	1160	46022
123	1171	46065
124	1182	46106
125	1192	46142
126	1203	46178
127	1214	46221
128	1224	46255
129	1235	46296
130	1246	46336
131	1257	46362
132	1261	46155
133	1270	46121
134	1281	46175
135	1294	46301
136	1303	46260
137	1315	46334
138	1325	46365
139	1336	46385
140	1340	46186
141	1350	46201
142	1360	46226
143	1371	46249
144	1382	46274
145	1393	46312
146	1403	46334
147	1410	46252
148	1419	46212
149	1428	46174
150	1438	46198
151	1448	46215
152	1459	46238
153	1469	46254
154	1480	46271
155	1487	46195
156	1496	46160
157	1506	46181
158	1517	46208
159	1528	46238
160	1537	46206
161	1546	46180
162	1558	46234
163	1568	46260
164	1579	46289
165	1583	46122
166	1594	46133
167	1598	45970
168	1608	45989
169	1619	46009
170	1629	46026
171	1635	45910
172	1642	45834
173	1653	45849
174	1663	45876
175	1672	45853
176	1683	45871
177	1692	45843
178	1702	45866
179	1713	45884
180	1719	45775
181	1729	45789
182	1740	45811
183	1751	45836
184	1760	45824
185	1771	45853
186	1782	45872
187	1792	45885
188	1803	45896
189	1813	45911
190	1822	45882
191	1832	45896
192	1843	45906
193	1853	45923
194	1864	45932
195	1874	45946
196	1885	45958
197	1895	45977
